데이터셋 크기 : 178개의 행, 13개의 열

각 특성의 평균 및 표준편차 : 
                                    mean         std
alcohol                        13.000618    0.811827
malic_acid                      2.336348    1.117146
ash                             2.366517    0.274344
alcalinity_of_ash              19.494944    3.339564
magnesium                      99.741573   14.282484
total_phenols                   2.295112    0.625851
flavanoids                      2.029270    0.998859
nonflavanoid_phenols            0.361854    0.124453
proanthocyanins                 1.590899    0.572359
color_intensity                 5.058090    2.318286
hue                             0.957449    0.228572
od280/od315_of_diluted_wines    2.611685    0.709990
proline                       746.893258  314.907474

알코올(alcohol) 특성 : 
 최대값 : 14.83
 최소값 : 11.03
